,k,result_main.txt,result_core.txt
100,16,0.037,0.0010143999999999986
1000,56,0.38,0.0146289
2000,80,0.74,0.027392400000000004
5000,132,1.809,0.0801753
10000,199,3.747,0.14885700000000002
20000,275,7.949,0.2592816
50000,442,20.24,0.6471158
100000,622,47.714,1.6656114
200000,870,99.096,3.4602251999999996
500000,1389,254.699,9.192585699999999
800000,1773,416.669,14.8302523
1000000,1975,534.363,18.530303399999998
1200000,2172,641.16,22.042371699999997
1500000,2435,809.951,27.869293
2000000,2806,1064.012,37.6982771
